iter	Passed	Remaining
1463	30229	743
1464	30249	722
1465	30265	701
1466	30287	681
1467	30303	660
1468	30322	639
1469	30344	619
1470	30366	598
1471	30387	578
1472	30404	557
1473	30427	536
1474	30450	516
1475	30472	495
1476	30495	474
1477	30517	454
1478	30537	433
1479	30557	412
1480	30577	392
1481	30598	371
1482	30620	351
1483	30643	330
1484	30666	309
1485	30688	289
1486	30704	268
1487	30728	247
1488	30751	227
1489	30774	206
1490	30790	185
1491	30808	165
1492	30830	144
1493	30850	123
1494	30866	103
1495	30887	82
1496	30910	61
1497	30931	41
1498	30951	20
1499	30973	0
